10:29:43.518 [http-nio-8443-exec-4] INFO  com.app.login.LoginServlet[LoginServlet.java:39] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=Anonymous - doGet : Request from LoginServlet to login.jsp
10:30:21.183 [http-nio-8443-exec-8] INFO  com.app.login.LoginServlet[LoginServlet.java:49] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=Anonymous - doPost : Request from login.jsp to validate login
10:30:21.184 [http-nio-8443-exec-8] TRACE com.app.login.LoginServlet[LoginServlet.java:50] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=Anonymous - Requested User : bob
10:30:21.712 [http-nio-8443-exec-8] INFO  com.app.login.LoginServlet[LoginServlet.java:58] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=Anonymous - User validated sucessfully
10:30:21.716 [http-nio-8443-exec-8] INFO  com.app.login.LoginServlet[LoginServlet.java:66] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=Anonymous - doPost : Redirect from LoginServlet to TodoServlet
10:30:21.723 [http-nio-8443-exec-2] INFO  com.app.todo.TodoList[TodoList.java:37] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - Hello, user
10:30:21.723 [http-nio-8443-exec-2] TRACE com.app.todo.TodoList[TodoList.java:40] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doGet : DBConnection Open
10:30:21.737 [http-nio-8443-exec-2] INFO  com.app.todo.TodoList[TodoList.java:42] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doGet : Retrive todo list
10:30:21.741 [http-nio-8443-exec-2] INFO  com.app.todo.TodoList[TodoList.java:44] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doGet : Request from TodoServlet to todoList.jsp
10:30:21.808 [http-nio-8443-exec-2] TRACE com.app.todo.TodoList[TodoList.java:57] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doGet : DBConnection Close
10:30:31.028 [http-nio-8443-exec-5] INFO  com.app.todo.TodoList[TodoList.java:37] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - Hello, user
10:30:31.028 [http-nio-8443-exec-5] TRACE com.app.todo.TodoList[TodoList.java:40] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doGet : DBConnection Open
10:30:31.029 [http-nio-8443-exec-5] INFO  com.app.todo.TodoList[TodoList.java:42] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doGet : Retrive todo list
10:30:31.030 [http-nio-8443-exec-5] INFO  com.app.todo.TodoList[TodoList.java:44] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doGet : Request from TodoServlet to todoList.jsp
10:30:31.040 [http-nio-8443-exec-5] TRACE com.app.todo.TodoList[TodoList.java:57] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doGet : DBConnection Close
10:30:33.091 [http-nio-8443-exec-5] TRACE com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:47] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doGet : DBConnection Open
10:30:33.092 [http-nio-8443-exec-5] INFO  com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:49] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doGet : Retrive accout details
10:30:33.093 [http-nio-8443-exec-5] INFO  com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:52] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doGet : Request from AccountUpdateServlet to accountUpdate.jsp
10:30:33.122 [http-nio-8443-exec-5] TRACE com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:66] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doGet : DBConnection Close
10:30:39.150 [http-nio-8443-exec-7] TRACE com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:92] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doPost : DBConnection Open
10:30:39.151 [http-nio-8443-exec-7] INFO  com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:98] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doPost : Update user data
10:30:39.170 [http-nio-8443-exec-7] INFO  com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:102] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doPost : Update done sucessfully
10:30:39.171 [http-nio-8443-exec-7] INFO  com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:104] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doPost : Redirect from AccountUpdateServlet to AccountUpdateServlet
10:30:39.171 [http-nio-8443-exec-7] TRACE com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:127] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doPost : DBConnection Close
10:30:39.175 [http-nio-8443-exec-3] TRACE com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:47] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doGet : DBConnection Open
10:30:39.176 [http-nio-8443-exec-3] INFO  com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:49] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doGet : Retrive accout details
10:30:39.178 [http-nio-8443-exec-3] INFO  com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:52] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doGet : Request from AccountUpdateServlet to accountUpdate.jsp
10:30:39.188 [http-nio-8443-exec-3] TRACE com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:66] session=b84193654dc040d9db2a821e736d50baeed6994c, ipAddress=127.0.0.1, username=bob - doGet : DBConnection Close
10:33:06.890 [http-nio-8443-exec-6] INFO  com.app.login.LoginServlet[LoginServlet.java:49] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=Anonymous - doPost : Request from login.jsp to validate login
10:33:06.899 [http-nio-8443-exec-6] TRACE com.app.login.LoginServlet[LoginServlet.java:50] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=Anonymous - Requested User : aaaa
10:33:06.902 [http-nio-8443-exec-6] INFO  com.app.login.LoginServlet[LoginServlet.java:58] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=Anonymous - User validated sucessfully
10:33:06.903 [http-nio-8443-exec-6] INFO  com.app.login.LoginServlet[LoginServlet.java:66] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=Anonymous - doPost : Redirect from LoginServlet to TodoServlet
10:33:06.911 [http-nio-8443-exec-9] INFO  com.app.todo.TodoList[TodoList.java:37] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - Hello, user
10:33:06.912 [http-nio-8443-exec-9] TRACE com.app.todo.TodoList[TodoList.java:40] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doGet : DBConnection Open
10:33:06.927 [http-nio-8443-exec-9] INFO  com.app.todo.TodoList[TodoList.java:42] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doGet : Retrive todo list
10:33:06.930 [http-nio-8443-exec-9] INFO  com.app.todo.TodoList[TodoList.java:44] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doGet : Request from TodoServlet to todoList.jsp
10:33:06.943 [http-nio-8443-exec-9] TRACE com.app.todo.TodoList[TodoList.java:57] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doGet : DBConnection Close
10:33:16.273 [http-nio-8443-exec-5] TRACE com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:47] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doGet : DBConnection Open
10:33:16.274 [http-nio-8443-exec-5] INFO  com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:49] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doGet : Retrive accout details
10:33:16.276 [http-nio-8443-exec-5] INFO  com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:52] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doGet : Request from AccountUpdateServlet to accountUpdate.jsp
10:33:16.291 [http-nio-8443-exec-5] TRACE com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:66] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doGet : DBConnection Close
10:33:43.537 [http-nio-8443-exec-10] INFO  com.app.registration.FileUploadServlet[FileUploadServlet.java:47] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doPost : File content type : application/octet-stream
10:33:43.539 [http-nio-8443-exec-10] INFO  com.app.registration.FileUploadServlet[FileUploadServlet.java:69] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doPost : File uploaded sucessfully : /Applications/NetBeans/apache-tomcat-8.0.27/wtpwebapps/TestApplication//uploadFiles/aaaa_8.jsp
10:33:43.539 [http-nio-8443-exec-10] INFO  com.app.registration.FileUploadServlet[FileUploadServlet.java:71] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doPost : Request from FileUploadServlet to accountUpdate.jsp
10:34:28.972 [http-nio-8443-exec-8] TRACE com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:47] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doGet : DBConnection Open
10:34:28.980 [http-nio-8443-exec-8] INFO  com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:49] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doGet : Retrive accout details
10:34:28.982 [http-nio-8443-exec-8] INFO  com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:52] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doGet : Request from AccountUpdateServlet to accountUpdate.jsp
10:34:28.997 [http-nio-8443-exec-8] TRACE com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:66] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doGet : DBConnection Close
10:34:37.437 [http-nio-8443-exec-8] TRACE com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:47] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doGet : DBConnection Open
10:34:37.438 [http-nio-8443-exec-8] INFO  com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:49] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doGet : Retrive accout details
10:34:37.439 [http-nio-8443-exec-8] INFO  com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:52] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doGet : Request from AccountUpdateServlet to accountUpdate.jsp
10:34:37.454 [http-nio-8443-exec-8] TRACE com.app.registration.AccountUpdateServlet[AccountUpdateServlet.java:66] session=09abf22348052508846220d6b2c317e9463fce8b, ipAddress=127.0.0.1, username=aaaa - doGet : DBConnection Close
10:38:50.739 [http-nio-8443-exec-9] INFO  com.app.login.LoginServlet[LoginServlet.java:39] session=516cdf1db418f24107cd7f808d29e48654257d04, ipAddress=127.0.0.1, username=Anonymous - doGet : Request from LoginServlet to login.jsp
19:13:23.068 [http-nio-8443-exec-3] INFO  com.app.login.LoginServlet[LoginServlet.java:39] session=82d53f1f657aa89fc20ed0c4a5207d14b0225db2, ipAddress=0:0:0:0:0:0:0:1, username=Anonymous - doGet : Request from LoginServlet to login.jsp
16:28:13.425 [http-nio-8443-exec-4] INFO  com.app.login.LoginServlet[LoginServlet.java:39] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Anonymous - doGet : Request from LoginServlet to login.jsp
16:29:06.832 [http-nio-8443-exec-7] INFO  com.app.login.LoginServlet[LoginServlet.java:39] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Anonymous - doGet : Request from LoginServlet to login.jsp
16:29:22.428 [http-nio-8443-exec-5] INFO  com.app.login.LoginServlet[LoginServlet.java:49] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Anonymous - doPost : Request from login.jsp to validate login
16:29:22.436 [http-nio-8443-exec-5] TRACE com.app.login.LoginServlet[LoginServlet.java:50] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Anonymous - Requested User : Pradeep
16:29:22.451 [http-nio-8443-exec-5] INFO  com.app.login.LoginServlet[LoginServlet.java:58] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Anonymous - User validated sucessfully
16:29:22.454 [http-nio-8443-exec-5] INFO  com.app.login.LoginServlet[LoginServlet.java:66] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Anonymous - doPost : Redirect from LoginServlet to TodoServlet
16:29:22.476 [http-nio-8443-exec-6] INFO  com.app.todo.TodoList[TodoList.java:37] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Pradeep - Hello, user
16:29:22.476 [http-nio-8443-exec-6] TRACE com.app.todo.TodoList[TodoList.java:40] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Pradeep - doGet : DBConnection Open
16:29:22.499 [http-nio-8443-exec-6] INFO  com.app.todo.TodoList[TodoList.java:42] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Pradeep - doGet : Retrive todo list
16:29:22.505 [http-nio-8443-exec-6] INFO  com.app.todo.TodoList[TodoList.java:44] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Pradeep - doGet : Request from TodoServlet to todoList.jsp
16:29:22.825 [http-nio-8443-exec-6] TRACE com.app.todo.TodoList[TodoList.java:57] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Pradeep - doGet : DBConnection Close
16:30:16.314 [http-nio-8443-exec-4] INFO  com.app.todo.TodoList[TodoList.java:37] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Pradeep - Hello, user
16:30:16.315 [http-nio-8443-exec-4] TRACE com.app.todo.TodoList[TodoList.java:40] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Pradeep - doGet : DBConnection Open
16:30:16.316 [http-nio-8443-exec-4] INFO  com.app.todo.TodoList[TodoList.java:42] session=4fc6a0f9978e2911055eca910db1fde7e84eeebb, ipAddress=172.20.36.131, username=Pradeep - doGet : Retrive todo list
